[2022-11-19 01:01:02,141] INFO [Controller id=0 epoch=6] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2022-11-19 01:01:11,321] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,344] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,368] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,391] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,414] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,438] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,465] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,489] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,513] INFO [Broker id=0] Leader twitter-0 with topic id Some(lIqYdUPIRX-9yVYYb_98NQ) starts at leader epoch 0 from offset 364 with partition epoch 0, high watermark 364, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,514] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,537] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,577] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,601] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:01:11,666] INFO [Broker id=0] Finished LeaderAndIsr request in 1246ms correlationId 1 from controller 0 for 52 partitions (state.change.logger)
[2022-11-19 01:01:11,680] INFO [Broker id=0] Add 52 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 7 with correlation id 2 (state.change.logger)
[2022-11-19 01:01:24,714] INFO [Controller id=0 epoch=7] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2022-11-19 01:02:47,165] INFO [Controller id=0 epoch=8] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2022-11-19 01:02:47,205] INFO [Controller id=0 epoch=8] Sending LeaderAndIsr request to broker 0 with 52 become-leader and 0 become-follower partitions (state.change.logger)
[2022-11-19 01:02:47,210] INFO [Controller id=0 epoch=8] Sending UpdateMetadata request to brokers HashSet(0) for 52 partitions (state.change.logger)
[2022-11-19 01:02:47,259] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 52 partitions (state.change.logger)
[2022-11-19 01:02:47,293] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 8 as part of the become-leader transition for 52 partitions (state.change.logger)
[2022-11-19 01:02:47,301] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,327] INFO [Broker id=0] Leader quickstart-events-0 with topic id Some(TPULOQlLSN-Zif-vJGPkKg) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,327] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,348] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,370] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,393] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,416] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,439] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,462] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,486] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,510] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,533] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,556] INFO [Broker id=0] Leader __consumer_offsets-49 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,580] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,604] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,628] INFO [Broker id=0] Leader __consumer_offsets-24 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,652] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,676] INFO [Broker id=0] Leader __consumer_offsets-46 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,700] INFO [Broker id=0] Leader __consumer_offsets-1 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,723] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,747] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 3 with partition epoch 0, high watermark 3, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,748] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,772] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,796] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,820] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,843] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,866] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,890] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,913] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,937] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,961] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:47,985] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:48,009] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:48,033] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2022-11-19 01:02:48,056] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(iJvpvQfaTVee6IW4eUIeSw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
